"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value","lambda"
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.5083743403413236,0.2
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.35982317176323864,0.2
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.512595532225458,0.2
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5551692235911828,0.2
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.5414898203399486,0.2
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.49701542909837376,0.2
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.5573432346924553,0.30000000000000004
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.33316908844929316,0.30000000000000004
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5212094986294541,0.30000000000000004
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.602674141497269,0.30000000000000004
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.6037628716908212,0.30000000000000004
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.49735079276090033,0.30000000000000004
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.6187552019666994,0.4
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.2988085408345353,0.4
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5404723111437477,0.4
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.6555027288272582,0.4
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.6624710146698128,0.4
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.4937057088658604,0.4
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.676841263525519,0.5
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.2634980868961685,0.5
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5352107106490359,0.5
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7049794747443021,0.5
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.7183802210959515,0.5
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.4945775122544137,0.5
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.7361335285968194,0.6000000000000001
