"Model","m","n","phi","q","p","S","TopKList","MaxRank","lambda","Rule","Metric","Value"
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","CondorcetEfficiency",0.34349030470914127
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","MidScore",0.331
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","Top1Acceptability",0.33371568627450954
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","Top2Acceptability",0.6690588235294115
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","Top3Acceptability",1.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","NeverFirstRate",0.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","NoiseFlipRate",0.4965
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","CondorcetExistRate",0.9035
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","CondorcetEfficiency",0.9053680132816824
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","MidScore",0.3245
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","Top1Acceptability",0.38755882352941157
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","Top2Acceptability",0.7181568627450977
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","Top3Acceptability",1.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","NeverFirstRate",0.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","NoiseFlipRate",0.6745
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","CondorcetExistRate",0.9035
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","CondorcetEfficiency",0.6801328168234643
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","MidScore",0.0925
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","Top1Acceptability",0.4078431372549016
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","Top2Acceptability",0.6706666666666665
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","Top3Acceptability",1.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","NeverFirstRate",0.
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","NoiseFlipRate",0.4995
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","CondorcetExistRate",0.9035
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","CondorcetEfficiency",0.9291643608190371
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","MidScore",0.3465
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","Top1Acceptability",0.3786176470588233
"OppPrefs",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","Top2Acceptability",0.7197745098039213
