"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.8,,"Top2Acceptability",0.11848039215686254
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.8,,"Gap",0.5779737443112443
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.8,,"CondorcetEfficiency",0.24639076034648702
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.8,,"CondorcetExistRate",0.5195
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.8,,"MidScore",0.8845000000000005
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.95,,"Top1Acceptability",0.057078431372548935
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.95,,"Top2Acceptability",0.16083333333333308
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.95,,"Gap",0.6175561356112402
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.95,,"CondorcetEfficiency",0.2983638113570741
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.95,,"CondorcetExistRate",0.5195
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.95,,"MidScore",0.7408333333333337
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"Top1Acceptability",0.03913725490196074
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"Top2Acceptability",0.08849019607843123
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"Gap",0.5710503793700242
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"CondorcetEfficiency",0.16019900497512438
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"MidScore",0.9676666666666668
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"Top1Acceptability",0.030705882352941142
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"Top2Acceptability",0.07431372549019596
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"Gap",0.5764498015873016
