"Model","m","n","phi","q","p","S","TopKList","MaxRank","lambda","Rule","Metric","Value"
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","MidScore",0.315
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","Top1Acceptability",0.3947450980392154
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","Top2Acceptability",0.7231274509803918
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","NoiseFlipRate",0.6485
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","CondorcetExistRate",0.926
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","CondorcetEfficiency",0.708963282937365
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","MidScore",0.076
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","Top1Acceptability",0.41526470588235265
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","Top2Acceptability",0.6769901960784311
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Plurality","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","NoiseFlipRate",0.466
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","CondorcetExistRate",0.926
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","CondorcetEfficiency",0.9379049676025918
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","MidScore",0.3125
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","Top1Acceptability",0.38834313725490177
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","Top2Acceptability",0.7223921568627447
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Coombs","Top3Acceptability",1.
