"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value"
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NeverFirstRate",0.
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NoiseFlipRate",0.1155
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetExistRate",0.5055
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetEfficiency",0.8466864490603363
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","MidScore",0.4372222222222215
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top1Acceptability",0.13796078431372524
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top2Acceptability",0.2674215686274506
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top3Acceptability",0.38676470588235273
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NeverFirstRate",0.
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NoiseFlipRate",0.399
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetExistRate",0.5055
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetEfficiency",0.3758654797230465
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","MidScore",0.4391111111111104
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top1Acceptability",0.1733725490196075
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top2Acceptability",0.2651274509803917
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top3Acceptability",0.35762745098039206
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NeverFirstRate",0.
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NoiseFlipRate",0.3695
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetExistRate",0.5055
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetEfficiency",0.8140454995054401
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","MidScore",0.4412222222222215
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top1Acceptability",0.12589215686274488
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top2Acceptability",0.24844117647058778
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top3Acceptability",0.3654607843137253
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NeverFirstRate",0.001
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NoiseFlipRate",0.2775
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetExistRate",0.5055
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetEfficiency",0.6053412462908012
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","MidScore",0.44366666666666593
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top1Acceptability",0.11783333333333311
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top2Acceptability",0.2360098039215682
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top3Acceptability",0.35488235294117626
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NeverFirstRate",0.
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NoiseFlipRate",0.1285
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetExistRate",0.5055
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetEfficiency",0.7942631058358062
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","MidScore",0.43411111111111045
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top1Acceptability",0.128362745098039
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top2Acceptability",0.2561274509803917
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top3Acceptability",0.3779215686274508
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NeverFirstRate",0.0065
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NoiseFlipRate",0.8685
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetExistRate",0.5055
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetEfficiency",0.12462908011869436
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","MidScore",0.4461111111111104
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top1Acceptability",0.10091176470588217
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top2Acceptability",0.20015686274509767
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top3Acceptability",0.30140196078431336
