"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.1,"Top2Acceptability",0.35113725490196057
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.1,"Gap",0.4839019063067305
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.1,"CondorcetEfficiency",0.845771144278607
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.1,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.1,"MidScore",0.44783333333333336
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.25,"Top1Acceptability",0.1751568627450977
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.25,"Top2Acceptability",0.34557843137254884
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.25,"Gap",0.49327728572299107
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.25,"CondorcetEfficiency",0.8258706467661692
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.25,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.25,"MidScore",0.479
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.5849625007211563,"Top1Acceptability",0.16359803921568597
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.5849625007211563,"Top2Acceptability",0.3323725490196076
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.5849625007211563,"Gap",0.5080356700137276
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.5849625007211563,"CondorcetEfficiency",0.7479270315091211
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.5849625007211563,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.5849625007211563,"MidScore",0.5433333333333332
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.75,"Top1Acceptability",0.15901960784313696
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.75,"Top2Acceptability",0.3258627450980389
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.75,"Gap",0.5119528627282274
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.75,"CondorcetEfficiency",0.714759535655058
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.75,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.75,"MidScore",0.5688333333333333
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2,"Top1Acceptability",0.15467647058823503
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2,"Top2Acceptability",0.31953921568627425
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2,"Gap",0.5154389789261589
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2,"CondorcetEfficiency",0.685737976782753
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2,"MidScore",0.5928333333333332
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2.5,"Top1Acceptability",0.14737254901960758
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2.5,"Top2Acceptability",0.30769607843137226
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2.5,"Gap",0.5196765026120345
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2.5,"CondorcetEfficiency",0.6119402985074627
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2.5,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,2.5,"MidScore",0.6375
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,3,"Top1Acceptability",0.1425882352941174
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,3,"Top2Acceptability",0.2989705882352938
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,3,"Gap",0.5212463580721918
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,3,"CondorcetEfficiency",0.5580431177446102
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,3,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,3,"MidScore",0.6618333333333334
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,4,"Top1Acceptability",0.13803921568627425
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,4,"Top2Acceptability",0.2909117647058821
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,4,"Gap",0.5229768756726211
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,4,"CondorcetEfficiency",0.49834162520729686
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,4,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,4,"MidScore",0.6810000000000003
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"SDM",,1.1,"Top1Acceptability",0.14949999999999983
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"SDM",,1.1,"Top2Acceptability",0.31459803921568597
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"SDM",,1.1,"Gap",0.5297337702654233
