"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value"
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top3Acceptability",0.9967058823529413
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NeverFirstRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NoiseFlipRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetExistRate",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetEfficiency",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","MidScore",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top1Acceptability",0.8481568627450972
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top2Acceptability",0.9779705882352937
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top3Acceptability",0.9967058823529413
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NeverFirstRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NoiseFlipRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetExistRate",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetEfficiency",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","MidScore",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top1Acceptability",0.8481568627450972
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top2Acceptability",0.9779705882352937
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top3Acceptability",0.9967058823529413
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NeverFirstRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NoiseFlipRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetExistRate",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetEfficiency",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","MidScore",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top1Acceptability",0.8481568627450972
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top2Acceptability",0.9779705882352937
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top3Acceptability",0.9967058823529413
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NeverFirstRate",0.004
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NoiseFlipRate",0.196
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetExistRate",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetEfficiency",0.8035
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","MidScore",0.0467777777777778
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top1Acceptability",0.7091274509803916
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top2Acceptability",0.9496470588235291
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top3Acceptability",0.9960098039215686
